,name,grantee,centerType,phone,address,city,state_x,zip,0,1,state_y,county
35,Stratford Head Start,"DELTA COMMUNITY ACTION
308 SW 2nd Street
Lindsay, OK 73052-5404
(405)756-1100
",Head Start,(580) 759-2382,241 N Oak,Stratford,OK,74872-4436,74872,4436,OK,Garvin County
36,Lindsay Head Start/Early Head Start,"DELTA COMMUNITY ACTION
308 SW 2nd Street
Lindsay, OK 73052-5404
(405)756-1100
",Head Start,(405) 756-3513,14027 E County Road 1518,Lindsay,OK,73052-5404,73052,5404,OK,Garvin County
37,Maysville Head Start,"DELTA COMMUNITY ACTION
308 SW 2nd Street
Lindsay, OK 73052-5404
(405)756-1100
",Head Start,(405) 867-1297,"9 Williams
Corner of Williams and Oak",Maysville,OK,73057,73057,,OK,Garvin County
38,Blanchard Head Start,"DELTA COMMUNITY ACTION
308 SW 2nd Street
Lindsay, OK 73052-5404
(405)756-1100
",Head Start,(405) 485-3947,401 NE 5th Street,Blanchard,OK,73010,73010,,OK,McClain County
39,Duncan Irving Head Start/ Early Head Start,"DELTA COMMUNITY ACTION
308 SW 2nd Street
Lindsay, OK 73052-5404
(405)756-1100
",Head Start,(580) 255-5571,1200 W Sycamore Ave,Duncan,OK,73533-5023,73533,5023,OK,Stephens County
40,Purcell Early Learning Center,"Delta Community Action Foundation, Inc.
308 SW 2nd Street
Lindsay, OK 73052-
(405)756-1100
",Early Head Start,(405) 527-5551,715 S 4th Ave,Purcell,OK,73080-6422,73080,6422,OK,McClain County
41,Lindsay Head Start/Early Head Start,"Delta Community Action Foundation, Inc.
308 SW 2nd Street
Lindsay, OK 73052-
(405)756-1100
",Early Head Start,(405) 756-3513,14027 E County Road 1518,Lindsay,OK,73052-5404,73052,5404,OK,Garvin County
42,Duncan Irving Head Start/ Early Head Start,"Delta Community Action Foundation, Inc.
308 SW 2nd Street
Lindsay, OK 73052-
(405)756-1100
",Early Head Start,(580) 255-5571,1200 W Sycamore Ave,Duncan,OK,73533-5023,73533,5023,OK,Stephens County
43,Kickapoo Head Start,"Kickapoo Head Start
105365 South Highway 102
McLoud, OK 74851-
(405)964-3676
",American Indian and Alaska Native Head Start,(405) 964-3676,PO Box 399,McLoud,OK,74851-0399,74851,0399,OK,Pottawatomie County
44,Clinton HS & C C Facility,"CHEYENNE & ARAPAHO TRIBES OF OKLAHOMA
100 Red Moon Circle
Concho, OK 73022-
(405)422-7636
",American Indian and Alaska Native Head Start,(580) 323-1748,10333 N 2274 Rd,Clinton,OK,73601-7521,73601,7521,OK,Custer County
45,Canton,"CHEYENNE & ARAPAHO TRIBES OF OKLAHOMA
100 Red Moon Circle
Concho, OK 73022-
(405)422-7636
",American Indian and Alaska Native Head Start,(580) 886-2815,301 1/2 Lake Road,Canton,OK,73724,73724,,OK,Blaine County
46,Concho,"CHEYENNE & ARAPAHO TRIBES OF OKLAHOMA
100 Red Moon Circle
Concho, OK 73022-
(405)422-7636
",American Indian and Alaska Native Head Start,(405) 422-7647,201 Black Kettle Blvd,Concho,OK,73022,73022,,OK,Canadian County
47,"Emerson High School, OKCPS, Little Wonders Child Care Center","SUNBEAM FAMILY SERVICES, INC
1100 NW 14th St
Oklahoma City, OK 73106-4450
(405)528-7721
",Early Head Start,(405) 228-3242,715 N Walker Ave,Oklahoma City,OK,73102-1225,73102,1225,OK,Oklahoma County
48,Educare Oklahoma City,"SUNBEAM FAMILY SERVICES, INC
1100 NW 14th St
Oklahoma City, OK 73106-4450
(405)528-7721
",Early Head Start,(405) 605-8232,500 SE Grand Blvd,Oklahoma City,OK,73129-4948,73129,4948,OK,Oklahoma County
49,"Home-Based Program, Sunbeam Family Services Inc.","SUNBEAM FAMILY SERVICES, INC
1100 NW 14th St
Oklahoma City, OK 73106-4450
(405)528-7721
",Early Head Start,(405) 605-8232,616 NW 21st St,Oklahoma City,OK,73103-1899,73103,1899,OK,Oklahoma County
50,N'Darko Head Start Center,"CADDO NATION OF OKLAHOMA
237 Wichita Ln
Anadarko, OK 73005-3709
(405)656-2344
",American Indian and Alaska Native Head Start,(405) 247-6266,"237 Wichita Ln
1.5 Miles North on Highway 281",Anadarko,OK,73005-3709,73005,3709,OK,Caddo County
51,Binger-Oney Pre-K,"CADDO NATION OF OKLAHOMA
237 Wichita Ln
Anadarko, OK 73005-3709
(405)656-2344
",American Indian and Alaska Native Head Start,(405) 656-2304,"PO Box 280
300 S. Apache",Binger,OK,73009-0280,73009,0280,OK,Caddo County
52,Hasinai Head Start Center,"CADDO NATION OF OKLAHOMA
237 Wichita Ln
Anadarko, OK 73005-3709
(405)656-2344
",American Indian and Alaska Native Head Start,(405) 656-2353,"511 Memorial Lane
Jct Hwy 152 and Hwy 281",Binger,OK,73009,73009,,OK,Caddo County
53,Haskell Campus,"Green Country Behavioral Health Services, Inc.
619 N Main St
Muskogee, OK 74401-4431
(918)687-6611
",Head Start,(918) 482-5441,313 Chickasaw Road,Haskell,OK,74436,74436,,OK,Muskogee County
54,Warner Campus,"Green Country Behavioral Health Services, Inc.
619 N Main St
Muskogee, OK 74401-4431
(918)687-6611
",Head Start,(1) 918-463,"1012 5th Ave
Warner Public School",Warner,OK,74469-6900,74469,6900,OK,Muskogee County
55,East Campus,"Green Country Behavioral Health Services, Inc.
619 N Main St
Muskogee, OK 74401-4431
(918)687-6611
",Head Start,(1) 918-683,3900 Eufaula Ave,Muskogee,OK,74403-1129,74403,1129,OK,Muskogee County
56,Jamie Banks Robertson (JBR),"Green Country Behavioral Health Services, Inc.
619 N Main St
Muskogee, OK 74401-4431
(918)687-6611
",Head Start,(1) 918-682,540 S 3rd St,Muskogee,OK,74401-7820,74401,7820,OK,Muskogee County
57,Ft. Gibson Campus,"Green Country Behavioral Health Services, Inc.
619 N Main St
Muskogee, OK 74401-4431
(918)687-6611
",Head Start,(1) 918-478,"500 Ross Ave
Ft. Gibson Public School",Fort Gibson,OK,74434-8422,74434,8422,OK,Muskogee County
58,Youth Central,"Green Country Behavioral Health Services, Inc.
619 N Main St
Muskogee, OK 74401-4431
(918)687-6611
",Head Start,(1) 918-687,301 N 6th St,Muskogee,OK,74401-6008,74401,6008,OK,Muskogee County
59,Warner Campus,"Green Country Behavioral Health Services, Inc.
619 N Main St
Muskogee, OK 74401-4431
(918)687-6611
",Early Head Start,(1) 918-463,"1012 5th Ave
Warner Public School",Warner,OK,74469-6900,74469,6900,OK,Muskogee County
60,East Campus,"Green Country Behavioral Health Services, Inc.
619 N Main St
Muskogee, OK 74401-4431
(918)687-6611
",Early Head Start,(1) 918-683,3900 Eufaula Ave,Muskogee,OK,74403-1129,74403,1129,OK,Muskogee County
61,Jamie Banks Robertson (JBR),"Green Country Behavioral Health Services, Inc.
619 N Main St
Muskogee, OK 74401-4431
(918)687-6611
",Early Head Start,(1) 918-682,540 S 3rd St,Muskogee,OK,74401-7820,74401,7820,OK,Muskogee County
62,Ft. Gibson Campus,"Green Country Behavioral Health Services, Inc.
619 N Main St
Muskogee, OK 74401-4431
(918)687-6611
",Early Head Start,(1) 918-478,"500 Ross Ave
Ft. Gibson Public School",Fort Gibson,OK,74434-8422,74434,8422,OK,Muskogee County
63,Youth Central,"Green Country Behavioral Health Services, Inc.
619 N Main St
Muskogee, OK 74401-4431
(918)687-6611
",Early Head Start,(1) 918-687,301 N 6th St,Muskogee,OK,74401-6008,74401,6008,OK,Muskogee County
64,Shawnee Campus,"Green Country Behavioral Health Services, Inc.
619 N Main St
Muskogee, OK 74401-4431
(918)687-6611
",Early Head Start,(1) 918-682,2719 Old Shawnee,Muskogee,OK,74403,74403,,OK,Muskogee County
65,Comanche Head Start,"DELTA COMMUNITY ACTION
308 SW 2nd Street
Lindsay, OK 73052-5404
(405)756-1100
",Head Start,(580) 439-2900,1030 Ash Ave,Comanche,OK,73529-2636,73529,2636,OK,Stephens County
66,Iowa Tribe of Oklahoma Early Head Start,"IOWA TRIBE OF OKLAHOMA
335164 East 750 Rd
Perkins, OK 74059-
(405)547-2402
",American Indian and Alaska Native Head Start,(405) 547-5826,335164 E 750 Rd,Perkins,OK,74059-3276,74059,3276,OK,Payne County
67,Education Engine HS/EHS,"Crossroads Youth & Family Services, Inc.
Crossroads Head Start
1333 West Main Street
Norman, OK 73069-6864
(405)292-6440 - 340
",Head Start,(580) 248-0474,"2402 SW E Ave
Education Engine",Lawton,OK,73505-7332,73505,7332,OK,Comanche County
68,Northeast Oklahoma Community Action Early Head Start Program,"Northeast Oklahoma Community Action Agency, Inc.
856 E Melton Dr
Jay, OK 74346-2704
(918)253-4683 - 118
",Early Head Start,(918) 253-4683,1015 S Main St,Jay,OK,74346-3861,74346,3861,OK,Delaware County
69,Fairfax,"OSAGE NATION
1421 Grandview Ave
Pawhuska, OK 74056-1842
(918)287-5462
",American Indian and Alaska Native Head Start,(918) 287-5601,1000 West McKinley,Fairfax,OK,74637,74637,,OK,Osage County
70,Pawhuska,"OSAGE NATION
1421 Grandview Ave
Pawhuska, OK 74056-1842
(918)287-5462
",American Indian and Alaska Native Head Start,(918) 287-5460,P O 1389,Pawhuska,OK,74056,74056,,OK,Osage County
71,Skiatook,"OSAGE NATION
1421 Grandview Ave
Pawhuska, OK 74056-1842
(918)287-5462
",American Indian and Alaska Native Head Start,(918) 287-5471,"1801 W Oak St
Skiatook",Skiatook,OK,74070-4244,74070,4244,OK,Osage County
72,Hominy,"OSAGE NATION
1421 Grandview Ave
Pawhuska, OK 74056-1842
(918)287-5462
",American Indian and Alaska Native Head Start,(918) 287-5648,102 Buffalo Ave,Hominy,OK,74035-6784,74035,6784,OK,Osage County
73,Temple Head Start Cener,"COMMUNITY ACTION DEVELOPMENT CORPORATION
400 N Randlett St
Hobart, OK 73651-1636
(580)726-3343
",Head Start,(580) 342-5022,103 West Texas,Temple,OK,73568,73568,,OK,Cotton County
74,Frederick Head Start Center - Public School,"COMMUNITY ACTION DEVELOPMENT CORPORATION
400 N Randlett St
Hobart, OK 73651-1636
(580)726-3343
",Head Start,(580) 335-5713,213 S 13th St,Frederick,OK,73542-5802,73542,5802,OK,Tillman County
75,Colcord Head Start,"Grand Head Start (Jay Public Schools)
1115 S Main St
Jay, OK 74346-3848
(918)253-8650 - 207
",Head Start,(918) 326-4117,400 South Spencer Street,Colcord,OK,74338,74338,,OK,Delaware County
76,Commerce Head Start,"Grand Head Start (Jay Public Schools)
1115 S Main St
Jay, OK 74346-3848
(918)253-8650 - 207
",Head Start,(918) 675-5556,124 N Vine St,Commerce,OK,74339-1429,74339,1429,OK,Ottawa County
77,Grove Head Start,"Grand Head Start (Jay Public Schools)
1115 S Main St
Jay, OK 74346-3848
(918)253-8650 - 207
",Head Start,(918) 786-3119,802A W 7th St,Grove,OK,74344-3524,74344,3524,OK,Delaware County
78,Jay Head Start,"Grand Head Start (Jay Public Schools)
1115 S Main St
Jay, OK 74346-3848
(918)253-8650 - 207
",Head Start,(918) 253-8285,1104 W Washbourne,Jay,OK,74346,74346,,OK,Delaware County
79,Jay Elementary Head Start,"Grand Head Start (Jay Public Schools)
1115 S Main St
Jay, OK 74346-3848
(918)253-8650 - 207
",Head Start,(918) 253-4413,403 N Main St,Jay,OK,74346,74346,,OK,Delaware County
80,Miami Head Start,"Grand Head Start (Jay Public Schools)
1115 S Main St
Jay, OK 74346-3848
(918)253-8650 - 207
",Head Start,(918) 542-9642,1530 H St NW,Miami,OK,74354-1747,74354,1747,OK,Ottawa County
81,Quapaw Head Start,"Grand Head Start (Jay Public Schools)
1115 S Main St
Jay, OK 74346-3848
(918)253-8650 - 207
",Head Start,(918) 674-2700,310 McDonald Ave,Quapaw,OK,74363,74363,,OK,Ottawa County
82,Vinita Head Start,"Grand Head Start (Jay Public Schools)
1115 S Main St
Jay, OK 74346-3848
(918)253-8650 - 207
",Head Start,(918) 256-7296,302 S 2nd St,Vinita,OK,74301-4212,74301,4212,OK,Craig County
83,Kansas Head Start,"Grand Head Start (Jay Public Schools)
1115 S Main St
Jay, OK 74346-3848
(918)253-8650 - 207
",Head Start,(918) 256-7296,275 W Main St,Kansas,OK,74347-4700,74347,4700,OK,Delaware County
84,NACT Mark Twain,"NATIVE AMERICAN COALITION OF TULSA
4935 S Union Ave
Tulsa, OK 74107-7839
(918)446-7939
",Head Start,(918) 833-8820,541 S 43rd West Ave,Tulsa,OK,74127-7740,74127,7740,OK,Tulsa County
85,NACT Head Start West Campus,"NATIVE AMERICAN COALITION OF TULSA
4935 S Union Ave
Tulsa, OK 74107-7839
(918)446-7939
",Head Start,(918) 446-7939,4935 S Union Ave,Tulsa,OK,74107-7839,74107,7839,OK,Tulsa County
86,NACT Head Start Glenpool,"NATIVE AMERICAN COALITION OF TULSA
4935 S Union Ave
Tulsa, OK 74107-7839
(918)446-7939
",Head Start,(918) 321-2649,14100 S Hickory St,Glenpool,OK,74033-3634,74033,3634,OK,Tulsa County
87,NACT Head Start  Campus 97,"NATIVE AMERICAN COALITION OF TULSA
4935 S Union Ave
Tulsa, OK 74107-7839
(918)446-7939
",Head Start,(918) 514-4327,5550 S Highway 97,Sand Springs,OK,74063-3711,74063,3711,OK,Tulsa County
88,Eufaula,"Muscogee (Creek) Nation Head Start
1820 North Miami Avenue
Okmulgee, OK 74447-
(918)732-7901
",American Indian and Alaska Native Head Start,(918) 618-6220,320 Swadley Dr,Eufaula,OK,74432-2229,74432,2229,OK,McIntosh County
89,Wetumka,"Muscogee (Creek) Nation Head Start
1820 North Miami Avenue
Okmulgee, OK 74447-
(918)732-7901
",American Indian and Alaska Native Head Start,(405) 452-1180,333 S Washita St,Wetumka,OK,74883-5522,74883,5522,OK,Hughes County
90,Okmulgee,"Muscogee (Creek) Nation Head Start
1820 North Miami Avenue
Okmulgee, OK 74447-
(918)732-7901
",American Indian and Alaska Native Head Start,(918) 758-1430,1810 N Miami Street,Okmulgee,OK,74447,74447,,OK,Okmulgee County
91,Tulsa,"Muscogee (Creek) Nation Head Start
1820 North Miami Avenue
Okmulgee, OK 74447-
(918)732-7901
",American Indian and Alaska Native Head Start,(918) 296-0357,8601 S Union Ave,Tulsa,OK,74132-3609,74132,3609,OK,Tulsa County
92,Checotah,"Muscogee (Creek) Nation Head Start
1820 North Miami Avenue
Okmulgee, OK 74447-
(918)732-7901
",American Indian and Alaska Native Head Start,(918) 473-0605,302 B St,Checotah,OK,74426-5226,74426,5226,OK,McIntosh County
93,Okemah,"Muscogee (Creek) Nation Head Start
1820 North Miami Avenue
Okmulgee, OK 74447-
(918)732-7901
",American Indian and Alaska Native Head Start,(918) 623-2000,103 Hiyak PO St,Okemah,OK,74859-4804,74859,4804,OK,Okfuskee County
94,Midway Public School Collaboration,"Muscogee (Creek) Nation Head Start
1820 North Miami Avenue
Okmulgee, OK 74447-
(918)732-7901
",American Indian and Alaska Native Head Start,(918) 474-3434,3016 S Pine,Council Hill,OK,74428,74428,,OK,McIntosh County
95,Wainwright Public School,"Muscogee (Creek) Nation Head Start
1820 North Miami Avenue
Okmulgee, OK 74447-
(918)732-7901
",American Indian and Alaska Native Head Start,(918) 474-3484,"PO Box 189
1 School Street",Wainwright,OK,74468-0189,74468,0189,OK,Muskogee County
96,Dewar Public School Collaboration,"Muscogee (Creek) Nation Head Start
1820 North Miami Avenue
Okmulgee, OK 74447-
(918)732-7901
",American Indian and Alaska Native Head Start,(918) 652-9625,204 W 5th Street,Dewar,OK,74431-0780,74431,0780,OK,Okmulgee County
97,Educare I-Kendall Whittier,"Tulsa Educare, Inc.
2511 E 5th Pl
Tulsa, OK 74104-2804
(539)832-8200
",Early Head Start,(918) 779-6233,2511 E 5th Pl,Tulsa,OK,74104-2804,74104,2804,OK,Tulsa County
98,Little Rabbits Head Start Center,"KIOWA TRIBE (ONAP)
Highway 9 West
100 Kiowa Way
Carnegie, OK 73015-
(580)654-6393
",American Indian and Alaska Native Head Start,(405) 247-3740,1602 American St,Anadarko,OK,73005-2314,73005,2314,OK,Caddo County
99,Kiowa Tribe Head Start-Carnegie Center,"KIOWA TRIBE (ONAP)
Highway 9 West
100 Kiowa Way
Carnegie, OK 73015-
(580)654-6393
",American Indian and Alaska Native Head Start,(580) 654-6391,"Hwy 9 W.
100 Kiowa Way",Carnegie,OK,73015,73015,,OK,Caddo County
100,KCA Head Start Center,"KIOWA TRIBE (ONAP)
Highway 9 West
100 Kiowa Way
Carnegie, OK 73015-
(580)654-6393
",American Indian and Alaska Native Head Start,(580) 354-1412,1401 NE Lawrie Tatum Rd,Lawton,OK,73507-3008,73507,3008,OK,Comanche County
101,Caddo-Kiowa Technology Center,"KIOWA TRIBE (ONAP)
Highway 9 West
100 Kiowa Way
Carnegie, OK 73015-
(580)654-6393
",American Indian and Alaska Native Head Start,(405) 643-3248,1415 N 7th,Fort Cobb,OK,73038,73038,,OK,Caddo County
102,Educare 2-Hawthorne,"Tulsa Educare, Inc.
2190 S 67th East Ave
Tulsa, OK 74129-2008
(539)832-8200
",Early Head Start,(918) 508-2250,3420 N Peoria Ave,Tulsa,OK,74106-2000,74106,2000,OK,Tulsa County
103,Educare 3-MacArthur,"Tulsa Educare, Inc.
2190 S 67th East Ave
Tulsa, OK 74129-2008
(539)832-8200
",Early Head Start,(539) 832-8200,2190 S 67th East Ave,Tulsa,OK,74129-2008,74129,2008,OK,Tulsa County
104,Happy Hands Educational Center,"Tulsa Educare, Inc.
2190 S 67th East Ave
Tulsa, OK 74129-2008
(539)832-8200
",Early Head Start,(918) 893-4800,8801 S Garnett Rd,Broken Arrow,OK,74012-6002,74012,6002,OK,Tulsa County
105,Kingston Head Start,"INCA COMMUNITY SERVICES, INC
202 S Capital Ave
Tishomingo, OK 73460-1605
(580)371-2352 - 258
",Head Start,(1) 580-564,"100 NE 4th St
Kingston Public School",Kingston,OK,73439-1139,73439,1139,OK,Marshall County
106,WAPANUCKA HEAD START,"INCA COMMUNITY SERVICES, INC
202 S Capital Ave
Tishomingo, OK 73460-1605
(580)371-2352 - 258
",Head Start,(1) 580-937,502 S Choctaw Ave,Wapanucka,OK,73461-9235,73461,9235,OK,Johnston County
107,MADILL #1,"INCA COMMUNITY SERVICES, INC
202 S Capital Ave
Tishomingo, OK 73460-1605
(580)371-2352 - 258
",Head Start,(1) 580-795,211 N 2nd St,Madill,OK,73446-2207,73446,2207,OK,Marshall County
108,Sulphur HEAD START,"INCA COMMUNITY SERVICES, INC
202 S Capital Ave
Tishomingo, OK 73460-1605
(580)371-2352 - 258
",Head Start,(1) 580-622,1220 W 9th St,Sulphur,OK,73086-3612,73086,3612,OK,Murray County
